,title,bids,err_bids,link,price,weekday,date,err_date,hour,ampm,Description,price_cln,cat
10,"1909-11 T206 White Border Ty Cobb, Portrait, Red Background - PSA EX-MT 6 ",23,0,https://goldin.co/item/1909-t-206-ty-cobbs2ie8,"$26,760 ",Thu,5/18/2023,0,4:35,AM,"Graded EX-MT 6 by PSA (73003758). Hall of Famer. ""Sweet Caporal - 350-460 Subjects, Factory No. 42"" back. Among a total of 46 copies of this piece in this configuration recorded in PSA's census reporting, this is one of only two examples to achieve this tier with two graded higher. The inimitable Ty Cobb endures what was doubtless a short-lived moment of quietude on the face of this classic T206 tobacco insert card. Here, his demeanor's apparent serenity dovetails wonderfully with the card's graceful, aesthetically pure translation of his energy. On the offered example's cardfront, the likeness of the hitting legend is refined in all its aspects, and its character is enhanced splendidly by precise focus and fiery red backgrounding, the latter element blazing with a hue that reflects the fierce intensity that typified his career. It would be nearly impossible for a T206 to exhibit greater depth and clarity in printing. The card's full, snow-white borders frame Cobb's image with admirable symmetry. His penetrating gaze comes through with almost impossible strength, and his facial features are captured with a measure of precision that is rarely exhibited on entries from this era. The item's crimson background could hardly be more striking, more invigorating in its effect, and small imperfections are betrayed to the observer only at the very tips of the still well-shaped corners and in the form of a small printing disturbance above Cobb's head. The red-inked reverse proudly displays its bright, sharply calibrated print. Cobb's well-documented activities in real life were those of a warrior, but this career-contemporary artifact reveals the fire that was omnipresent even in the man's infrequent moments of calm.
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",26760,2
11,1915 Cracker Jack #30 Ty Cobb - PSA GD+ 2.5,25,0,https://goldin.co/item/1915-cracker-jack-30-ty-cobb-psa-gd-2-5fhiti,"$35,160 ",Thu,5/18/2023,0,6:07,AM,"Graded GD+ 2.5 by PSA (74499146). Hall of Famer. Ty Cobb had another of his ""typical"" seasons in 1915, leading the league in batting average, hits, runs and stolen bases. Cobb's 96 thefts were, in fact, an all-time record up to that point. Presented is a very alluring commemorative of that campaign in the form of a 1915 Cracker Jack Ty Cobb example. This is one of the most famous baseball cards ever created, and it is considered a classic piece of Americana. The offered, brightly colored card reveals inconspicuous and faint product-stain spots on the reverse. Cobb's image is crystal clear, however, and corner wear is largely superficial in a manner that leaves their shape surprisingly strong. The piece delivers phenomenal eye appeal along with its obviously formidable ""star power."" Cracker Jack, Cobb and baseball: that wonderful combination, seen here, has yielded a physically small but truly spectacular prize.",35160,2
12,1922 W573 Babe Ruth - SGC VG-EX 4,32,0,https://goldin.co/item/1922-w573-babe-ruth-sgc-vg-ex-4q3egx,"$26,400 ",Thu,5/18/2023,0,5:28,AM,"Graded 50 VG/EX 4 (""VG-EX 4"" equivalent) by SGC (1289193-007). Hall of Famer. Only four higher-graded examples have been confirmed in SGC's census reporting. A pinstripe-clad Babe Ruth stands in a confident, assured pose on the cardfront of this notably rare W573 ""strip card"" collectible. Ruth's central image is surrounded by an intricate, dot-matrix design that lends a regal character to the depiction of baseball's former home run king. The card's corners and edges bear relatively mild and inoffensive evidence of past circulation, while the oval-shaped portrayal on the obverse enjoys a favorable degree of clarity and depth. The piece boasts strong printing; a bright, white hue emanates from both the cardback and the obverse-side border areas. This is a scarce, evocative celebration of Ruth's early years with the New York Yankees, presented in an enviable manner of appearance. 
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",26400,2
13,1925 Exhibits Lou Gehrig Rookie Card - SGC Authentic/Altered,15,0,https://goldin.co/item/1925-exhibits-henry-l-gehrigm9e9k,"$16,802 ",Thu,5/18/2023,0,5:08,AM,"Encapsulated and assessed ""Authentic/Altered"" by SGC (1253671). Hall of Famer, in his Rookie Card appearance. An understandably coveted, much sought-after period memento, this postcard-sized showpiece is widely considered to be Lou Gehrig's Rookie Card: the item was produced for the Iron Horse's first full season with the New York Yankees. The projection of confidence inherent in the young slugger's follow-through seems prophetically complemented by the stockiness of Gehrig's frame in this arcade card's fascinating black-and-white illustration. Both attributes would serve him well during the years that followed, and it's hard to believe that, at the time this collectible's glimpse was recorded for posterity, Gehrig had only 38 career Major League at-bats to his name. The attention-grabbing souvenir's premium dimensions, along with haphazard distribution conducted only through amusement park vending machines, have ensured that the supply of this exceptionally visual memento will forever be dwarfed by the demand for it among those who revere Lou Gehrig's legacy. This superior specimen displays its famous subject (in news-photo style) in a nicely detailed image. The card concedes two tears (one horizontal tear, repaired on both obverse and reverse with tape, and one vertical tear, repaired on the reverse), natural corner rounding (including paper-loss at the top-left corner), light spots of discoloration, and a hand-written, black-ink notation on the reverse. Despite these circumstances, the blank-backed, 3-3/8-by-5-3/8-inch card's aesthetic drama and vintage mystique endure in a manner that reflects the courage and determination of the item's celebrated subject. ",16802,2
14,1933 Goudey #53 Babe Ruth – PSA EX 5,20,0,https://goldin.co/item/1933-goudey-53-babe-ruthrvz0c,"$57,600 ",Thu,3/16/2023,0,3:30,AM,"Graded EX 5 by PSA (71780269). Hall of Famer. Among more than 1,150 copies recorded in PSA's census reporting, fewer than 7 percent have been awarded a higher, unqualified tier. Presented is one of the most popular depictions among Babe Ruth's four 1933 Goudey entries. In its important context, this yellow-backgrounded, low-number Ruth is a true ""key"" card among the mass of greatness gathered within its masterpiece series. This yellow Ruth's priceless likeness beams from its cardboard confines with incandescent brilliance. All of its cardfront hues harmonize effectively to accent each other's highlights and impress the viewer's senses in a manner of pleasure that's experienced so very seldom. The card's colors remain satisfying, and both front and back sides are gratifyingly bright and legible. A widely hungered-for piece depicting the baseball legend, this copy delivers a pleasingly evocative appearance.
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",57600,2
15,1998 SkyBox Metal Universe Precious Metal Gems (PMG) #199 Derek Jeter (#43/50) – PSA MINT 9 – Pop 1,31,0,https://goldin.co/item/1998-skybox-metal-universe-precious-metal-gems-pmg-199-derek-jeter-4367gw6,"$57,600 ",Thu,4/27/2023,0,4:58,AM,"Graded MINT 9 by PSA (25576967). Hall of Famer. This is the lone example of this piece recorded in PSA's census reporting graded at this premium tier, with none graded higher. Derek Jeter, the unflappable New York Yankees shortstop and captain who was the linchpin of their dynastic run in the 1990s, is the subject of this Fleer Metal Universe Precious Metal Gems collectible. Known as ""Captain Clutch"" and ""Mr. November"" for his postseason heroics, Jeter finished his MLB service as New York's career hits leader (3,465), surpassing all-time greats such as Babe Ruth, Lou Gehrig, Mickey Mantle, and Joe DiMaggio. Jeter was elected to the National Baseball Hall of Fame in his first year of eligibility after appearing on 396 of a possible 397 ballots. The limited-edition piece is serial-numbered ""43/50."" 
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",57600,2
16,1939 Play Ball #92 Ted Williams Rookie Card– PSA NM-MT 8,24,0,https://goldin.co/item/1939-play-ball-ted-williams-psa-nm-mt-86rclt,"$40,800 ",Thu,3/16/2023,0,3:30,AM,"Graded NM-MT 8 by PSA (02043811). Hall of Famer, in his debut gum card appearance. Among the more than 1,200 examples of this piece recorded in PSA's census reporting, only 14 have been graded at a higher, unqualified tier. Ted Williams' first Play Ball card pictures the very young Boston outfielder in a classic batting pose that showcases his sweet swing. Observers are also treated to a clear view of Williams' famous number ""9,"" and even a glimpse of the centennial arm patch on his left sleeve. This item exhibits respectable quality of appearance on both front and back surfaces. The image is well-focused and displays good contrast. The card's borders culminate in corners that reveal the slightest signs of wear but maintain an overall appealing shape. A worthy collectible of a singular figure. 
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",40800,2
17,"1925-31 W590, Hand-Cut Lou Gehrig Rookie Card - SGC VG 3 - Pop 1 (None Graded Higher)",27,0,https://goldin.co/item/1925-31-w590-hand-cut-lou-gehrig-sgc-vg-3xuorz,"$19,260 ",Thu,5/18/2023,0,5:19,AM,"Graded VG 3 by SGC (7414825). Hall of Famer. Among a total of 22 copies of this scarce piece reflected in SGC's census reporting, this is the lone example confirmed at its tier with none graded higher.
Almost four years have gone by since another number-graded example last reached the auction block. There were two ""Authentic"" copies in 2022 and two more ""Authentic"" in 2023 so far—all of which sold in the vicinity of $5,000-$6,000. The offered SGC VG 3 promises to be worth considerably more, not only because it's so superior, but also because it reigns as the grading company's finest submission on record. If you're looking for a rookie-era alternative to Gehrig's 1925 Exhibit, you can hardly do better than this hand-cut classic from the days when Columbia Lou stepped in for poor Wally Pipp. It’s arguably the best portrait image of any Gehrig card ever produced!",19260,2
18,1932 U.S. Caramel #14 Ty Cobb - BVG NM-MT 8 - Pop 1,20,0,https://goldin.co/item/1932-u-s-caramel-14-ty-cobb-bvg-nm-mt-8htdbc,"$12,600 ",Thu,5/18/2023,0,4:36,AM,"Graded NM-MT 8 by BVG (0009060225), far-and-away the superior example among a meager total of just four copies validated by that company. Hall of Famer. The great Ty Cobb retired from baseball in 1928, but his legend was still very much on the minds of fans in the early 1930s. Accordingly, U.S. Caramel (in the same manner as the Goudey Gum Co. opted to emulate the following year in its ""Sport Kings"" release) elected to include Cobb in the company's multi-sport 1932 set as a means to boost sales. This elite piece stands as one of Cobb's most aesthetically striking souvenirs, and it is much appreciated by ""Georgia Peach"" devotees for being so very different in dimensions and style from most other cards featuring the revered hitter's likeness. This collectible projects an exceptional degree of color and clarity, as Cobb's well-focused image stands out brilliantly against a flaming red background. All aspects of print resolution and fidelity, border symmetry and freshness, and overall visual impact are of the highest quality. This is one of the key cards in a rare and widely hungered-for production. A world-class specimen of one of the hobby's most desirable and distinctive Ty Cobb commemoratives.
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",12600,2
19,"1999 Upper Deck Game Jersey Autographed #JRS Ken Griffey Jr. Signed Relic Card (#1/24) - BGS GEM MINT 9.5, Beckett 10 - Pop 5",15,0,https://goldin.co/item/1999-upper-deck-game-jersey-autographed-jrs-ken-griffey-jr-signed-reli7prnb,"$36,000 ",Thu,4/27/2023,0,5:28,AM,"Graded GEM MINT 9.5 by BGS, with Autograph Grade ""10"" by Beckett (0013564521). Hall of Famer. Among the more than 20 examples of this piece recorded in Beckett's census reporting, this is one of only five graded at this premium tier, with none graded higher. Ken Griffey Jr.—the infectious, quick-smiling slugger whose dominance of the 1990s influenced an entire generation—has contributed a blue ink signature to this Upper Deck Game Jersey Autographed collectible. The cardfront presentation is highlighted by a white game-worn jersey swatch. The card's BGS condition report: Centering: 9.5, Corners: 9.5, Edges: 9.5, Surface: 9. A statement on the card affirms the manufacturer's guarantee of authenticity for the piece's content and serves as the item's COA. The limited-edition piece is hand serial-numbered ""1/24."" 
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",36000,2
20,1933 Goudey #53 Babe Ruth - SGC EX+ 5.5 ,27,0,https://goldin.co/item/1933-goudey-51-babe-ruth-sgc-ex-5-5jcwkh,"$43,200 ",Thu,5/18/2023,0,4:43,AM,"Graded EX+ 5.5 by SGC (4860717). Hall of Famer. Among a total of more than 550 copies recorded in SGC's census reporting, fewer than 7 percent have been awarded a higher tier. Presented is one of the most popular depictions among Babe Ruth's four 1933 Goudey entries. In its important context, this yellow-backgrounded, low-number Ruth is a true ""key"" card among the mass of greatness gathered within its masterpiece series. This yellow Ruth's priceless likeness beams from its cardboard confines with incandescent brilliance. All of its cardfront hues harmonize effectively to accent each other's highlights and impress the viewer's senses in a manner of pleasure that's experienced so very seldom. The card's colors remain satisfying, and both front and back sides are gratifyingly bright and legible. A widely hungered-for piece depicting the baseball legend, this copy delivers a pleasingly evocative appearance.
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",43200,2
21,"1955 Topps #50 Jackie Robinson Signed Card – PSA EX 5, PSA/DNA MINT 9 Autograph – Pop 1",23,0,https://goldin.co/item/1955-topps-50-jackie-robinson-signed-card-needs-psa-card-sigddsji,"$50,400 ",Thu,3/16/2023,0,3:30,AM,"Encapsulated and graded EX 5 by PSA, with Autograph Certified and graded MINT 9 by PSA/DNA (69837297). Hall of Famer. This is the lone example of this piece graded at its tier among the 14 examples in PSA/DNA's census reporting, with none graded higher. Offered is a splendid, mildly circulated 1955 Topps gum card that has been boldly front-signed by its subject, Jackie Robinson. The iconic baseball trailblazer rendered his scripting in ballpoint ink. The card boasts sharp, robust design elements that strongly contribute to the presentation quality of the autographed showpiece. Robinson packed a lifetime's worth of accomplishments—including a Rookie of the Year Award, an NL MVP Award, and a World Series title in 1955—into a brief 10-season MLB career, but he will always be most revered for being the first player to break baseball's color barrier and heralding an end to racial segregation on MLB rosters. Robinson—a diamond legend and selfless civil rights activist—passed away in 1972.
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",50400,2
22,"2022 Topps Chrome Update Sapphire Edition Rookie Autographs SuperFractor #RA-JR Julio Rodriguez Signed Rookie Card (#1/1) – PSA GEM MT 10, PSA/DNA GEM MT 10",22,0,https://goldin.co/item/2022-topps-chrome-ra-jr-julio-rodriguez-signed-rookie-card-1-1mltyp,"$57,600 ",Thu,3/30/2023,0,6:10,AM,Authentication-PSA-G10110668,57600,2
23,1955 Topps #123 Sandy Koufax Rookie Card – PSA NM+ 7.5,15,0,https://goldin.co/item/1955-topps-123-sandy-koufax-rookie-card8ceom,"$10,507 ",Thu,3/16/2023,0,3:30,AM,"Graded NM+ 7.5 by PSA (71780505). Hall of Famer, in his Rookie Card appearance. The offered card is a radiantly colored, deservedly coveted memento of its iconic subject. Today's hobby remains grateful for the inclusion of Sandy Koufax in Topps' 1955 release, and his debut-year card is a prized collectible from an era rich in baseball history.",10507,2
24,1933 Goudey #144 Babe Ruth - PSA VG-EX 4,22,0,https://goldin.co/item/1933-goudey-144-babe-ruth-psa-vg-ex-41cw1n,"$15,600 ",Thu,5/18/2023,0,4:30,AM,"Graded VG-EX 4 by PSA (11675195). Hall of Famer. The offered card captures ""The Great Bambino"" in the follow-through of one of his legendary swings. Number 144 is adored in the hobby as the ""action pose"" in the '33 Goudey set's quartet of prized Ruth pieces. Vivid yellow, green, and red hues dominate the design of this universally admired baseball card. The item's clean, mildly toned borders frame a delectable image that is positioned toward the right margin. Uniform corner rounding is evident at each corner aspect. The card's back-printing delivers enviable clarity, and contributes favorably to this colorful treasure's satisfying eye appeal. This is the classic, career-contemporary Babe Ruth baseball card, recognized and appreciated even by those unfamiliar with the organized collecting hobby.",15600,2
25,"2009 Bowman Draft Picks Chrome Prospect Autographs Gold Refractor #BDPP89 Mike Trout Signed Rookie Card (#03/50) - BGS GEM MINT 9.5, Beckett 10",25,0,https://goldin.co/item/2009-bowman-draft-picks-chrome-prospects-gold-refractor-bdpp89-mike-trmwadc,"$79,200 ",Thu,4/27/2023,0,4:41,AM,"Graded GEM MINT 9.5 by BGS, with Autograph Grade 10 by Beckett (0006515386). Rookie Card. 1st Bowman Chrome. No examples of this piece recorded in BGS' census reporting have achieved a higher grading tier. Future Hall of Famer Mike Trout shines on this exceptional Bowman Draft Picks Chrome Prospect Autographs Gold Refractor collectible dating to the year of his selection in the MLB June Amateur Draft. A three-time American League Most Valuable Player, Trout's combination of power, speed, and fielding talent have him frequently labeled the preeminent superstar of his generation. Trout has signed the cardfront in bold blue ink. The card's BGS condition report: Centering: 9.5, Corners: 9.5, Edges: 9.5, Surface: 9. A statement on the card affirms the manufacturer's guarantee of authenticity for the piece's content and serves as the item's COA. The limited-edition piece is serial-numbered ""03/50."" 
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change. ",79200,2
26,"2018 Bowman Chrome Rookie Autographs Red Refractor #BCRA-SO Shohei Ohtani Signed Rookie Card (#3/5) – BGS GEM MINT 9.5, Beckett 10 – True Gem – Pop 3",26,0,https://goldin.co/item/2018-bowman-chrome-rookie-autograph-red-refractor-bcra-so-shohei-ohtan7znji,"$184,800 ",Thu,3/2/2023,0,4:38,AM,"Graded GEM MINT 9.5 by BGS, with Autograph Grade 10 by Beckett (0011027462). Rookie Card. A True Gem example. This is one of three examples of this piece recorded at its premium tier in BGS' census reporting, with none graded higher. Shohei Ohtani—the 2021 American League Most Valuable Player—appears on this exclusive Bowman Chrome Rookie Autographs Red Refractor debut-year collectible. The two-way phenom has signed the cardfront in blue ink. The card's BGS condition report: Centering: 9.5, Corners: 9.5, Edges: 9.5, Surface: 9.5. A statement on the card affirms the manufacturer's guarantee of authenticity for the piece's content and serves as the item's COA. The limited-edition piece is serial-numbered ""3/5."" 
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",184800,2
27,1951 Bowman #305 Willie Mays Rookie Card - SGC NM 7,25,0,https://goldin.co/item/1951-bowman-305-willie-mays-rookie-card-sgc-nm-78abm5,"$33,600 ",Thu,5/18/2023,0,4:30,AM,"Graded NM 7 by SGC (4243518). Hall of Famer. Rookie Card. Among a total of more than 650 examples recorded in SGC's census reporting, fewer than 5 percent have achieved a higher tier. This is the debut collectible of the great Willie Mays, whose card number 305 emerged among Bowman's scarcer, late-season series of ""High Numbers."" The Giants' young star, whose determination is tellingly revealed within this item's portrayal (a depiction universally cherished within our hobby) was just beginning to demonstrate his unique talents at the time the memento was released. The offered card is generally superlative in its state of preservation. There are no print lines to interrupt the purity of the cardfront, and no wrapper stains disrupt the reverse. The card's corners are commendably sharp, with barely touched character, and the piece's only apparent concession to past handling is found, perhaps, in a touch of wear to the original surface gloss. Exceptional visual appeal!
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",33600,2
28,2022 Topps Gilded Collection Topps Chrome Cast In Gold Autographs SuperFractor #CGA-JR Julio Rodriguez Signed Rookie Card (#1/1) – PSA Authentic,20,0,https://goldin.co/item/2022-topps-gilded-collection-autograph-superfractor-cga-jr-julio-rodribpycu,"$22,800 ",Thu,3/30/2023,0,6:01,AM,Authentication-PSA-G10115537,22800,2
